Travel         Leverage_Ratio 
0              8.765          
10             8.724          
20             8.682          
30             8.640          
40             8.598          
50             8.554          
60             8.511          
70             8.467          
80             8.423          
90             8.378          
100            8.332          
110            8.286          
120            8.240          
130            8.194          
140            8.146          
150            8.099          
154            8.080          
