Travel            Shock_Compression Gradient          
0                 0.000             0.114             
10                1.144             0.115             
20                2.293             0.115             
30                3.447             0.116             
40                4.608             0.116             
50                5.774             0.117             
60                6.946             0.117             
70                8.124             0.118             
80                9.308             0.119             
90                10.498            0.119             
100               11.695            0.120             
110               12.898            0.121             
120               14.109            0.121             
130               15.326            0.122             
140               16.550            0.123             
150               17.781            0.123             
154               18.275            0.124             
