Time,Front Axle,Rear Axle,Front Force,Rear Sensor,Rear Force
38,-9.99,1.78,0.00,0.35,-0.97
39,-9.99,1.68,0.00,0.33,-0.97
40,-9.99,1.68,0.00,0.33,-0.97
41,-9.99,1.68,0.00,0.33,-0.97
42,-9.99,1.78,0.00,0.35,-0.98
43,-9.99,1.68,0.00,0.33,-0.98
44,-9.99,1.78,0.00,0.35,-0.95
45,-9.99,1.78,0.00,0.35,-0.95
46,-9.99,1.78,0.00,0.35,-0.96
47,-9.99,1.68,0.00,0.33,-0.96
48,-9.99,1.78,0.00,0.35,-0.96
49,-9.99,1.68,0.00,0.33,-0.96
50,0.98,1.78,0.98,0.35,-0.96
51,0.98,1.78,0.98,0.35,-0.96
52,0.98,1.68,0.98,0.33,-0.96
53,0.98,1.68,0.98,0.33,-0.96
54,0.98,1.78,0.98,0.35,-0.95
55,0.98,1.78,0.98,0.35,-0.95
56,0.98,1.68,0.98,0.33,-0.96
57,0.98,1.68,0.98,0.33,-0.96
58,0.98,1.78,1.01,0.35,-0.96
59,0.98,1.78,1.01,0.35,-0.96
60,0.98,1.68,0.97,0.33,-0.97
61,0.98,1.68,0.97,0.33,-0.97
62,0.98,1.78,0.97,0.35,-1.01
63,0.98,1.78,0.97,0.35,-1.01
64,0.98,1.68,0.97,0.33,-0.96
65,0.98,1.78,0.97,0.35,-0.96
66,0.98,1.68,0.98,0.33,-0.96
67,0.98,1.78,0.98,0.35,-0.96
68,0.98,1.68,0.98,0.33,-0.97
69,0.98,1.78,0.98,0.35,-0.97
70,0.98,1.78,0.98,0.35,-0.96
71,0.98,1.58,0.98,0.31,-0.96
72,0.98,1.78,0.98,0.35,-0.97
73,0.98,1.78,0.98,0.35,-0.97
74,0.98,1.78,0.98,0.35,-1.00
75,0.98,1.68,0.98,0.33,-1.00
76,0.98,1.78,0.98,0.35,-0.96
77,0.98,1.78,0.98,0.35,-0.96
78,0.98,1.78,0.99,0.35,-0.98
79,0.98,1.78,0.99,0.35,-0.98
80,0.98,1.78,0.97,0.35,-0.93
81,0.98,1.68,0.97,0.33,-0.93
82,0.98,1.88,1.00,0.37,-0.97
83,0.98,1.78,1.00,0.35,-0.97
84,0.98,1.78,0.97,0.35,-0.96
85,0.98,1.78,0.97,0.35,-0.96
86,0.98,1.78,1.00,0.35,-1.00
87,0.98,1.78,1.00,0.35,-1.00
88,0.98,1.78,0.99,0.35,-0.96
89,0.98,1.78,0.99,0.35,-0.96
90,0.98,1.58,0.97,0.31,-0.94
91,0.98,1.68,0.97,0.33,-0.94
92,0.98,1.78,0.99,0.35,-0.98
93,0.98,1.68,0.99,0.33,-0.98
94,0.98,1.68,0.98,0.33,-0.97
95,0.98,1.78,0.98,0.35,-0.97
