Time,Front Axle,Rear Axle,Front Force,Rear Sensor,Rear Force
0,52.57,-9.99,-0.65,-9.99,0.00
1,52.57,-9.99,-0.65,-9.99,0.00
2,52.57,-9.99,0.05,-9.99,0.00
3,52.52,-9.99,0.05,-9.99,0.00
1,52.52,2.40,-0.58,0.84,-0.07
5,52.47,2.19,-0.58,0.76,-0.26
6,52.47,2.14,-0.49,0.74,-0.26
7,52.42,2.19,-0.49,0.76,-0.05
8,52.42,2.08,-0.25,0.73,-0.02
9,52.47,2.08,-0.25,0.73,-0.02
10,52.47,2.14,-0.75,0.74,0.04
11,52.42,2.14,-0.75,0.74,0.04
12,52.42,2.08,-0.73,0.73,0.04
13,52.42,2.08,-0.73,0.73,0.04
14,52.47,2.03,-0.86,0.71,-0.02
15,52.37,2.03,-0.86,0.71,-0.02
16,52.42,2.19,-2.01,0.76,0.49
17,52.37,2.35,-2.01,0.82,0.49
18,52.42,2.62,-2.61,0.91,2.21
19,52.42,2.72,-2.61,0.95,2.21
20,52.52,2.72,-1.81,0.95,2.10
21,52.42,2.62,-1.81,0.91,2.10
22,52.47,2.51,-1.15,0.87,0.63
23,52.47,2.46,-1.15,0.86,0.63
24,52.47,2.46,-0.72,0.86,-0.00
25,52.47,2.40,-0.72,0.84,-0.00
26,52.42,2.30,-0.12,0.80,-0.29
27,52.37,2.19,-0.12,0.76,-0.29
28,52.32,2.14,-0.08,0.74,-0.38
29,52.27,2.14,-0.08,0.74,-0.38
30,52.22,2.08,-0.64,0.73,-0.15
31,52.18,2.08,-0.64,0.73,-0.15
32,52.13,2.08,-0.85,0.73,0.34
33,52.22,2.14,-0.85,0.74,0.34
34,52.13,2.19,-1.29,0.76,0.90
35,52.18,2.24,-1.29,0.78,0.90
36,52.18,2.24,-1.66,0.78,0.94
37,52.22,2.24,-1.66,0.78,0.94
38,52.18,2.24,-1.52,0.78,0.61
39,52.22,2.19,-1.52,0.76,0.61
40,52.22,2.19,-1.10,0.76,0.53
41,52.22,2.14,-1.10,0.74,0.53
42,52.22,2.19,-0.61,0.76,0.31
43,52.27,2.14,-0.61,0.74,0.31
44,52.22,2.19,-0.53,0.76,0.53
45,52.22,2.19,-0.53,0.76,0.53
46,52.27,2.19,-0.76,0.76,0.52
47,52.27,2.19,-0.76,0.76,0.52
48,52.27,2.19,-0.87,0.76,0.41
49,52.32,2.19,-0.87,0.76,0.41
50,52.22,2.24,-1.40,0.78,0.38
51,52.22,2.14,-1.40,0.74,0.38
52,52.22,2.19,-1.41,0.76,0.43
53,52.22,2.19,-1.41,0.76,0.43
54,52.27,2.19,-1.19,0.76,0.52
55,52.22,2.19,-1.19,0.76,0.52
56,52.22,2.24,-1.16,0.78,0.58
57,52.22,2.14,-1.16,0.74,0.58
58,52.22,2.14,-0.97,0.74,0.80
59,52.18,2.19,-0.97,0.76,0.80
60,52.27,2.19,-0.83,0.76,0.50
61,52.27,2.19,-0.83,0.76,0.50
62,52.27,2.19,-0.88,0.76,0.41
63,52.22,2.14,-0.88,0.74,0.41
64,52.27,2.14,-0.83,0.74,0.24
65,52.22,2.14,-0.83,0.74,0.24
66,52.22,2.24,-1.17,0.78,0.39
67,52.27,2.19,-1.17,0.76,0.39
68,52.22,2.19,-1.21,0.76,0.46
69,52.22,2.24,-1.21,0.78,0.46
70,52.22,2.19,-1.19,0.76,0.67
71,52.22,2.19,-1.19,0.76,0.67
72,52.18,2.14,-1.15,0.74,0.65
73,52.27,2.19,-1.15,0.76,0.65
74,52.22,2.19,-1.02,0.76,0.50
75,52.22,2.19,-1.02,0.76,0.50
76,52.27,2.14,-0.85,0.74,0.32
77,52.27,2.19,-0.85,0.76,0.32
78,52.22,2.19,-0.86,0.76,0.31
79,52.22,2.14,-0.86,0.74,0.31
80,52.22,2.24,-0.97,0.78,0.36
81,52.27,2.19,-0.97,0.76,0.36
82,52.22,2.19,-1.18,0.76,0.54
83,52.22,2.14,-1.18,0.74,0.54
84,52.22,2.19,-1.08,0.76,0.55
85,52.27,2.14,-1.08,0.74,0.55
86,52.32,2.14,-1.19,0.74,0.45
87,52.27,2.14,-1.19,0.74,0.45
88,52.27,2.19,-0.96,0.76,0.56
89,52.27,2.19,-0.96,0.76,0.56
90,52.22,2.19,-1.01,0.76,0.45
