section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,92759
analyzeCount,1,92760
axleTravelRatio,1,-28.659669822151297
compressionSpeedRatio,1,-36.41047719142379
reboundSpeedRatio,1,-35.65105583788552
section,forkResults
movingCount,1,92758
filterRatio,1,55
timeComp,1,17845
timeReb,1,33810
axleMin,1,22.955000000000002
axleMax,1,147.8675
axleAvg,1,66.27995976872064
axleMovingAvg,1,66.51453047972208
segments,1,2
maxCompressionSpeed,1,3763.15
avgCompressionSpeed,1,912.9585282651066
compressionSpeed95,1,2392.4000000000005
maxReboundSpeed,1,1530.9999999999998
avgReboundSpeed,1,570.6540884718514
reboundSpeed95,1,1044.6499999999994
axleTravelTotal,1,114248.88249999213
totalTravelComp,1,34765.885000000046
totalTravelReb,1,47162.10000000007
histogramLPS,42,20,160.0,0,0,63,3527,4154,8916,13373,16350,13688,10673,7754,5876,3629,2590,1245,660,177,61,9,0,0,0,63,3527,4154,8916,13371,16352,13688,10673,7754,5876,3629,2590,1245,660,177,61,9,0
gforceTotalComp,1,30197.188331446185
gforceTotalReb,1,47690.271328697636
gforceMin,1,-16.0
gforceMax,1,12.24
gforceAbsTotal,1,135131.36619160196
gforceTotalFlat,1,57243.90653145814
travelToForceRatioComp,1,1.1512954324888651
travelToForceRatioReb,1,0.9889249670009795
travelToForceRatioAll,1,0.8454653106814544
vibrationCompression,1,1.692193237962801
vibrationRebound,1,1.4105374542649405
vibrationOverall,1,1.456784887792173
forceBreakdownTable,9,1.5371234921095889,66.36839677265513,41.23312881601019,74.870462809555,33.284796088930044,49.4076766570077,23.592413698335413,0.34680713841482164,9.3591945269821
invalidSamples,1,0
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
0,30,32.01,70.47,0.67,618.90,657.00,38.14
104,123,39.40,70.16,0.87,496.65,505.50,56.61
173,202,28.00,65.79,0.52,388.65,403.50,60.44
303,321,28.32,102.80,2.74,2469.50,2685.50,53.33
342,359,78.83,106.71,1.98,571.05,576.00,94.37
423,444,28.87,88.06,1.73,1391.35,1469.50,46.32
450,463,78.35,122.25,2.46,1179.00,1213.50,98.37
510,522,29.48,53.02,0.57,675.50,705.50,45.02
546,559,30.01,60.15,2.16,1040.85,1120.50,41.96
564,575,58.45,76.73,1.90,657.55,695.50,68.46
584,598,66.33,82.25,2.30,431.35,454.00,76.15
638,654,32.58,92.45,2.25,1647.60,1720.50,52.23
745,764,28.00,82.12,1.43,987.00,1015.50,63.99
786,798,75.77,87.71,2.61,317.60,347.00,79.59
882,896,36.75,60.45,2.23,484.50,510.00,42.31
931,963,40.08,78.59,0.73,450.20,464.00,46.99
1068,1088,57.95,68.24,1.22,310.95,327.00,64.15
1166,1186,28.63,80.81,2.11,985.10,1016.00,42.83
1215,1225,45.28,72.73,2.53,992.80,1064.50,55.37
1241,1268,64.72,80.58,1.37,195.40,212.50,67.96
1503,1516,38.58,59.41,0.54,559.60,593.50,51.11
1558,1569,29.24,57.83,1.87,1258.75,1376.50,46.84
1577,1601,50.41,90.37,1.38,815.05,862.00,61.25
1819,1846,47.14,102.91,2.45,1219.05,1257.00,78.81
1903,1941,59.01,92.21,0.47,394.05,405.00,77.25
1997,2010,27.76,93.00,2.16,1798.10,1895.00,49.93
2066,2108,34.54,128.92,1.35,1576.75,1651.00,103.04
2194,2232,28.69,86.09,1.05,900.90,930.00,46.17
2288,2322,27.12,116.21,1.53,1178.70,1233.00,42.73
2378,2415,28.97,115.16,1.92,1472.65,1543.00,49.66
2474,2516,29.42,92.46,1.25,1271.90,1343.00,44.68
2543,2583,47.56,123.97,1.56,871.85,896.00,104.18
2698,2718,26.38,93.77,1.91,1716.90,1816.50,49.20
2741,2762,63.60,111.86,3.17,967.35,988.50,90.03
2819,2862,28.04,99.30,0.90,881.70,937.50,73.46
2919,2947,46.50,103.88,1.03,717.55,737.50,87.95
2980,3020,46.61,124.09,1.68,916.85,966.50,59.73
3162,3174,25.52,56.82,1.62,1143.10,1228.00,37.17
3195,3213,61.55,101.12,1.81,832.35,859.50,75.15
3260,3298,33.16,91.38,0.93,910.65,942.00,65.55
3361,3387,48.02,60.61,0.71,222.20,242.00,58.45
3388,3431,60.60,139.01,1.48,754.40,783.50,125.31
3539,3554,26.69,70.88,2.45,1200.40,1267.00,43.88
3582,3595,65.75,101.72,2.26,991.60,1025.50,85.37
3669,3680,30.81,83.49,3.76,1888.20,1999.50,57.62
3744,3754,54.91,96.69,4.45,1695.80,1841.00,72.26
3915,3925,70.25,81.17,1.33,384.10,407.50,74.25
3936,3949,77.68,93.61,1.48,353.60,378.50,81.96
4015,4026,40.61,83.05,2.59,1417.95,1494.00,66.50
4149,4161,76.73,95.70,1.95,689.75,728.00,86.06
4297,4309,45.74,77.92,1.86,1070.15,1133.00,60.67
4310,4320,77.89,92.35,2.29,571.45,617.50,83.99
4361,4379,58.47,88.60,1.17,706.45,730.00,73.00
4394,4415,80.77,92.86,0.97,223.55,234.50,84.10
4501,4519,28.38,77.75,1.65,1124.10,1237.50,68.26
4522,4538,75.73,112.23,2.37,999.70,1049.50,97.77
4599,4624,61.05,90.14,1.30,746.20,820.00,72.31
4771,4785,27.04,70.43,2.68,1483.40,1584.50,44.85
4789,4804,69.44,85.44,1.29,659.40,727.50,79.02
4809,4819,84.75,104.58,3.23,611.25,618.00,95.44
4906,4919,72.01,112.93,3.74,1418.10,1606.50,85.30
5015,5033,62.72,88.24,1.97,846.95,938.00,71.33
5034,5056,88.20,112.53,2.49,567.05,584.00,99.54
5199,5211,26.56,57.63,2.23,892.05,948.00,35.71
5217,5239,54.28,89.50,1.74,547.80,588.00,69.69
5298,5322,32.88,63.64,0.90,512.45,527.00,42.27
5374,5391,79.18,108.39,2.67,911.65,986.50,90.35
5431,5460,67.63,94.13,1.41,463.10,491.00,74.96
5574,5584,26.03,51.00,2.42,1134.45,1245.00,39.68
5588,5600,46.60,60.59,1.83,498.15,564.00,54.76
5684,5694,93.19,107.88,1.81,673.95,754.50,99.08
5821,5831,78.43,115.49,4.74,1408.85,1499.00,97.10
5995,6009,28.46,57.78,1.72,838.95,918.00,38.73
6026,6039,46.58,91.35,3.39,1283.85,1411.50,63.28
6055,6065,74.26,92.72,2.87,720.30,801.00,80.55
6134,6148,62.71,99.06,2.32,936.55,1045.00,70.03
6166,6178,94.56,114.40,3.19,699.25,730.00,104.99
6370,6382,24.35,103.92,4.30,2819.15,3005.00,60.61
6449,6461,66.02,89.90,3.36,765.20,818.00,75.40
6612,6623,47.55,81.05,2.74,1002.65,1040.00,60.27
6684,6702,55.26,80.44,0.73,599.90,632.00,70.66
6747,6774,74.98,104.83,1.56,573.40,613.00,89.94
6891,6919,28.57,72.39,0.95,711.60,739.50,61.73
7056,7069,78.31,94.94,1.16,585.40,625.00,88.97
7151,7194,27.15,110.97,1.49,1036.25,1098.50,96.29
7298,7339,41.51,85.26,0.73,353.75,366.50,47.54
7391,7423,44.02,81.68,0.89,693.45,739.50,72.58
7458,7478,32.62,89.95,2.42,1720.20,1863.00,51.22
7550,7564,58.44,75.34,0.92,415.45,427.00,68.30
7637,7654,41.55,53.94,0.71,360.45,381.00,48.33
7715,7738,40.59,121.17,2.43,1990.15,2102.50,62.18
7818,7840,47.10,71.49,0.94,536.05,554.50,56.95
7873,7883,40.70,85.44,2.06,1541.05,1606.00,61.72
7907,7928,36.23,97.25,2.57,1345.50,1467.00,49.75
7998,8009,43.07,58.38,1.52,444.95,464.00,48.69
8039,8063,49.48,80.10,1.23,528.50,561.50,56.60
8254,8276,48.88,61.54,0.47,264.95,278.00,52.13
8338,8349,36.32,62.18,2.16,776.35,803.50,47.48
8388,8403,34.07,89.03,1.39,1153.30,1177.00,69.56
8494,8506,45.72,62.90,0.83,643.65,684.00,54.96
8587,8600,54.88,88.37,1.69,1050.20,1122.50,68.07
8803,8820,68.36,96.40,1.95,567.55,578.50,89.50
8844,8864,50.19,117.84,3.92,2510.50,2737.00,73.18
9115,9126,81.62,111.62,3.01,1023.00,1078.50,99.96
9182,9198,42.40,85.14,3.53,1198.95,1279.50,55.15
9211,9224,59.88,76.50,1.97,576.20,627.50,71.19
9271,9291,52.52,84.70,2.08,724.75,764.50,76.45
9363,9386,38.85,93.53,2.44,988.60,1045.00,51.19
9660,9711,51.64,103.75,0.76,451.20,463.50,78.44
9772,9801,39.93,68.27,1.13,631.00,656.50,59.51
9814,9826,47.48,97.73,2.52,1462.10,1518.50,68.55
9860,9873,50.38,69.34,0.75,558.85,586.00,58.78
9918,9932,55.39,66.86,0.77,250.80,261.00,59.08
9967,9977,51.29,64.87,2.16,460.40,479.00,57.32
10038,10061,35.00,78.58,1.00,780.25,808.00,65.64
10172,10183,58.11,72.88,1.58,438.75,447.00,65.27
10383,10416,43.64,56.17,0.51,194.05,205.00,51.16
10508,10533,40.00,79.35,0.74,594.60,615.00,52.47
10564,10584,47.30,59.15,0.81,353.10,373.50,51.92
10638,10648,42.77,53.44,1.90,340.45,346.00,48.12
10653,10669,50.97,65.94,0.57,390.85,415.00,55.51
10701,10712,44.40,56.29,1.40,431.30,468.50,48.19
10746,10771,42.80,68.38,0.65,385.20,405.00,53.58
10891,10916,29.66,91.96,1.32,1268.75,1328.00,62.74
10929,10945,91.60,101.98,1.41,227.80,239.50,98.99
11029,11064,35.61,98.43,0.56,1079.90,1277.00,71.73
11136,11146,29.03,72.47,2.47,1532.30,1604.00,50.46
11255,11276,40.91,70.02,0.50,587.25,598.50,59.79
11281,11301,67.59,78.15,0.68,283.45,302.50,73.33
11440,11453,54.03,103.64,2.59,1527.15,1584.00,79.93
11566,11596,45.64,68.95,0.45,301.80,307.50,50.05
11676,11688,47.87,84.13,1.60,1139.45,1199.00,63.00
11744,11754,39.93,87.22,1.84,1564.80,1630.50,59.09
11786,11807,34.93,102.44,2.59,1389.65,1460.00,55.23
