section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,64079
analyzeCount,1,64080
axleTravelRatio,1,-22.32545092214425
compressionSpeedRatio,1,-25.630500895742074
reboundSpeedRatio,1,-19.31014112303949
section,forkResults
movingCount,1,64075
filterRatio,1,38
timeComp,1,8819
timeReb,1,15900
axleMin,1,47.11
axleMax,1,159.76749999999998
axleAvg,1,90.30179748761184
axleMovingAvg,1,93.1509408380908
segments,1,5
maxCompressionSpeed,1,3292.75
avgCompressionSpeed,1,908.3644814090021
compressionSpeed95,1,2090.9500000000003
maxReboundSpeed,1,1613.8499999999995
avgReboundSpeed,1,656.4263707571802
reboundSpeed95,1,1181.0499999999995
axleTravelTotal,1,64906.85249999021
totalTravelComp,1,17443.96499999998
totalTravelReb,1,25636.811250000006
histogramLPS,42,20,160.0,0,0,0,0,0,5,723,5247,11243,9018,7353,7342,5386,5125,3923,3227,2233,1570,891,478,0,0,0,0,0,5,723,5247,11243,9018,7353,7342,5386,5125,3923,3227,2233,1570,891,478
gforceTotalComp,1,14438.088861281101
gforceTotalReb,1,23068.340290922577
gforceMin,1,-16.0
gforceMax,1,13.78
gforceAbsTotal,1,69989.03534523376
gforceTotalFlat,1,32482.60619303008
travelToForceRatioComp,1,1.2081907216113479
travelToForceRatioReb,1,1.111341818556757
travelToForceRatioAll,1,0.9273860138209542
vibrationCompression,1,1.6371571449462639
vibrationRebound,1,1.4508390120077093
vibrationOverall,1,1.0922134105061447
forceBreakdownTable,9,0.0,1.1520775263353586,0.7085856217124543,21.40751772073734,90.14090058327044,63.6820050835531,78.59248227926267,8.707021890394211,35.60940929473445
invalidSamples,1,308
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
5622,5661,54.88,68.44,0.34,141.90,144.00,63.66
6017,6130,51.79,74.39,0.08,115.85,117.50,66.76
7208,7219,78.73,91.18,0.94,450.00,486.00,87.22
7250,7261,70.90,97.21,1.82,931.95,991.50,83.30
7340,7353,63.45,107.07,1.97,1473.30,1614.00,76.24
7404,7421,84.52,120.54,2.87,733.55,752.00,108.60
7610,7621,60.13,123.28,4.07,2117.40,2214.00,91.66
7684,7697,93.02,110.41,2.43,578.80,652.00,98.16
8091,8112,73.26,133.62,1.64,1436.75,1572.50,89.58
8114,8144,133.61,155.93,1.42,393.60,427.50,151.31
8204,8229,129.09,152.16,0.93,394.40,422.00,139.78
8287,8321,79.31,95.14,0.44,242.55,256.50,89.85
8368,8402,80.46,98.12,0.78,258.10,268.00,92.36
8437,8454,67.37,79.48,0.30,224.65,232.00,76.46
8457,8467,79.40,89.58,0.56,381.70,403.00,84.15
8512,8535,69.28,81.79,0.40,257.15,269.00,75.09
8544,8569,77.16,102.13,0.70,460.50,490.50,96.59
8619,8635,83.17,112.26,0.95,735.20,791.00,102.12
8677,8705,74.04,110.53,0.92,841.05,886.50,84.22
8773,8783,76.92,100.59,1.53,851.75,915.50,85.47
8830,8840,67.84,83.98,1.58,505.80,525.00,75.33
8876,8888,60.54,101.76,3.14,1494.60,1587.00,78.22
8903,8923,81.50,120.22,2.12,801.20,842.00,107.48
9024,9035,100.74,112.39,1.45,368.45,386.00,106.10
9093,9105,63.39,84.51,1.20,561.20,605.00,69.85
9117,9140,63.12,103.83,1.50,623.85,666.00,69.37
9226,9236,86.32,131.59,5.08,1824.05,1958.00,106.33
9608,9618,85.80,102.81,1.71,596.45,623.00,93.86
9644,9659,70.11,142.98,1.15,1478.80,1547.50,87.04
9766,9779,76.21,128.03,3.12,1957.65,2151.00,91.97
9902,9913,84.18,105.24,1.90,621.10,644.50,95.83
9919,9936,100.42,118.44,0.91,586.10,615.50,110.04
10007,10019,99.85,111.25,0.44,319.25,327.50,105.46
10084,10095,97.88,108.27,0.82,347.30,366.50,102.02
10141,10157,75.99,102.71,0.67,756.90,793.50,89.19
10170,10180,92.83,139.72,3.00,1470.70,1540.00,110.75
10227,10242,121.53,137.75,1.32,516.50,557.00,128.09
10371,10395,67.00,95.72,0.62,411.25,415.00,74.69
10618,10628,90.11,101.01,1.02,452.50,488.50,96.52
10635,10651,99.12,114.42,0.64,525.85,562.00,107.99
10711,10724,95.33,105.82,0.84,392.15,422.00,101.02
10777,10792,73.19,112.44,2.70,1125.25,1213.00,95.56
10823,10836,75.25,135.19,3.77,2476.85,2700.50,97.27
11100,11115,108.02,150.26,1.15,907.05,925.50,135.57
11309,11341,74.53,107.23,0.33,328.65,342.00,79.07
11389,11433,64.91,108.66,0.62,517.40,530.00,79.40
11481,11492,70.62,90.90,0.78,751.55,798.50,81.79
11500,11511,78.83,116.41,1.54,1141.35,1201.50,93.10
11543,11562,81.74,135.94,1.82,1264.30,1306.00,116.21
11679,11704,63.41,114.11,1.22,1054.55,1074.50,85.88
11747,11758,93.35,115.86,1.28,548.55,580.50,100.27
11799,11826,81.92,119.01,0.67,647.75,671.00,110.06
11884,11896,74.73,95.21,1.39,480.85,508.00,89.86
11925,11937,76.66,99.55,1.65,589.90,608.50,85.19
