section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,17855
analyzeCount,1,17856
axleTravelRatio,1,-22.516647831585804
compressionSpeedRatio,1,-18.006136115594035
reboundSpeedRatio,1,-17.208292973921527
section,forkResults
movingCount,1,17854
filterRatio,1,62
timeComp,1,4014
timeReb,1,7139
axleMin,1,55.45
axleMax,1,159.4375
axleAvg,1,97.84240155600573
axleMovingAvg,1,97.93117975597252
segments,1,2
maxCompressionSpeed,1,3272.2500000000005
avgCompressionSpeed,1,952.9936708860763
compressionSpeed95,1,2252.6000000000004
maxReboundSpeed,1,1700.75
avgReboundSpeed,1,637.2641304347823
reboundSpeed95,1,1123.8500000000013
axleTravelTotal,1,26749.73000000019
totalTravelComp,1,8364.502499999997
totalTravelReb,1,11219.81
histogramLPS,42,20,160.0,0,0,0,0,0,0,10,1315,1178,1740,2062,2233,2357,2093,1806,1206,829,505,348,120,0,0,0,0,0,0,10,1315,1178,1740,2062,2233,2357,2093,1806,1206,829,505,348,120
gforceTotalComp,1,7272.712106442572
gforceTotalReb,1,10383.733781512612
gforceMin,1,-14.35
gforceMax,1,8.66
gforceAbsTotal,1,28625.467025209844
gforceTotalFlat,1,10969.021137254658
travelToForceRatioComp,1,1.1501214921721232
travelToForceRatioReb,1,1.080517878836219
travelToForceRatioAll,1,0.9344731380781409
vibrationCompression,1,1.8118365985158376
vibrationRebound,1,1.4545081638202286
vibrationOverall,1,1.603128753651985
forceBreakdownTable,9,0.0,0.0,0.0,20.78163426864754,92.65951182167879,63.052924313491026,79.21836573135246,7.34048817832122,36.94707568650899
invalidSamples,1,48
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
10,21,68.18,111.51,2.36,1607.85,1723.50,86.54
73,86,62.21,125.94,2.27,2252.60,2429.00,85.39
120,132,98.03,116.17,3.71,458.85,493.50,111.23
197,208,69.90,85.31,1.60,504.45,532.50,78.27
217,237,72.42,99.52,0.80,424.55,461.00,77.43
244,257,94.70,150.88,2.42,1890.30,1992.00,127.08
363,391,89.48,141.11,2.76,1106.05,1142.50,116.40
437,455,62.69,98.68,2.50,817.45,842.50,74.85
476,489,98.99,113.52,1.48,549.60,610.50,108.70
643,654,117.14,133.67,2.76,514.35,544.50,122.89
731,744,95.27,127.89,4.66,1102.30,1177.00,106.85
756,767,121.00,131.09,2.62,409.65,447.00,125.06
782,794,83.81,101.13,1.74,601.45,659.50,89.13
834,846,63.95,105.72,1.54,1476.55,1589.50,80.04
871,883,92.07,140.59,5.27,1408.25,1589.00,102.57
1015,1031,84.22,112.51,0.90,507.70,517.00,95.11
1285,1295,69.25,131.84,3.49,2119.55,2250.50,93.55
1468,1498,89.24,138.97,1.92,913.15,1010.50,99.53
1562,1574,65.17,118.08,5.15,1570.55,1643.00,84.34
1588,1611,93.02,128.48,2.59,653.05,698.50,100.36
1683,1693,95.35,108.73,2.28,418.20,429.00,100.70
1758,1774,75.21,98.98,1.07,619.05,654.00,82.62
1819,1842,76.12,119.70,2.00,829.10,891.50,85.59
1861,1880,102.26,120.53,1.50,386.00,417.50,116.33
2036,2047,57.41,117.68,3.83,2297.70,2439.00,88.25
2073,2094,68.84,147.29,2.82,2100.55,2239.00,91.00
2182,2202,72.72,88.27,0.93,357.50,383.00,78.41
2213,2237,72.63,111.15,1.35,554.85,586.50,90.53
2277,2297,67.44,89.70,0.65,391.15,403.00,83.26
2355,2365,80.06,98.23,1.66,715.35,774.00,87.52
