Time (s), Distance (m), Latitude (deg), Longitude (deg), Elevation (m), Speed (km/h), Front Brake Power (W), Rear Brake Power (W), Front Brake Torque (Nm), Rear Brake Torque (Nm)
0.0,0,-38.11431,176.21269,493,0.1,0.0,0.0,0.0,0.0
0.1,0,-38.11431,176.21269,493,0.1,0.0,0.0,0.0,0.0
0.2,0,-38.11431,176.21269,493,0.1,0.0,0.0,0.0,0.0
0.3,0,-38.11431,176.21269,493,0.1,0.0,0.0,0.0,0.0
0.4,0,-38.11431,176.21269,493,0.1,0.0,0.0,0.0,0.0
0.5,0,-38.11431,176.21269,493,0.1,0.0,0.0,0.0,0.0
0.6,0,-38.11431,176.21269,493,0.1,0.0,0.0,0.0,0.0
0.7,0,-38.11431,176.21269,493,0.1,0.0,0.0,0.0,0.0
0.8,0,-38.11431,176.21269,494,0.1,0.0,0.0,0.0,0.0
0.9,0,-38.11431,176.21269,494,0.1,0.0,0.0,0.0,0.0
1.0,0,-38.11431,176.21269,495,0.1,0.0,0.0,0.0,0.0
1.1,0,-38.11431,176.21269,495,0.1,0.0,0.0,0.0,0.0
1.2,0,-38.11431,176.21269,495,0.1,0.0,0.0,0.0,0.0
1.3,0,-38.11431,176.21269,496,0.1,0.0,0.0,0.0,0.0
1.4,0,-38.11431,176.21269,496,0.1,0.0,0.0,0.0,0.0
1.5,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
1.6,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
1.7,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
1.8,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
1.9,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
2.0,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
2.1,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
2.2,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
2.3,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
2.4,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
2.5,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
2.6,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
2.7,0,-38.11431,176.21269,497,0.2,0.0,0.0,0.0,0.0
2.8,0,-38.11431,176.21268,497,0.2,0.0,0.0,0.0,0.0
2.9,0,-38.11431,176.21268,497,0.3,0.0,0.0,0.0,0.0
3.0,0,-38.11431,176.21268,497,0.3,0.0,0.0,0.0,0.0
3.1,0,-38.11431,176.21268,497,0.3,0.0,0.0,0.0,0.0
3.2,1,-38.11431,176.21268,497,0.3,0.0,0.0,0.0,0.0
3.3,1,-38.11431,176.21268,497,0.4,0.0,0.0,0.0,0.0
3.4,1,-38.11431,176.21268,497,0.4,0.0,0.0,0.0,0.0
3.5,1,-38.11431,176.21268,497,0.4,0.0,0.0,0.0,0.0
3.6,1,-38.11431,176.21268,497,0.5,0.0,0.0,0.0,0.0
3.7,1,-38.11431,176.21268,497,0.5,0.0,0.0,0.0,0.0
3.8,1,-38.11431,176.21268,497,0.6,0.0,0.0,0.0,0.0
3.9,1,-38.11431,176.21268,497,0.6,0.0,0.0,0.0,0.0
4.0,1,-38.11431,176.21268,497,0.7,0.0,0.0,0.0,0.0
4.1,1,-38.11431,176.21268,497,0.8,0.0,0.0,0.0,0.0
4.2,1,-38.1143,176.21268,497,0.8,0.0,0.0,0.0,0.0
4.3,1,-38.1143,176.21268,497,0.9,0.0,0.0,0.0,0.0
4.4,1,-38.1143,176.21268,497,1.0,0.0,0.0,0.0,0.0
4.5,1,-38.1143,176.21268,497,1.0,0.0,0.0,0.0,0.0
4.6,1,-38.1143,176.21267,497,1.0,0.0,0.0,0.0,0.0
4.7,2,-38.1143,176.21267,497,1.1,0.0,0.0,0.0,0.0
4.8,2,-38.1143,176.21267,497,1.1,0.0,0.0,0.0,0.0
4.9,2,-38.1143,176.21267,497,1.1,0.0,0.0,0.0,0.0
5.0,2,-38.1143,176.21267,497,1.2,0.0,0.0,0.0,0.0
5.1,2,-38.11429,176.21267,497,1.2,0.0,0.0,0.0,0.0
5.2,2,-38.11429,176.21267,497,1.2,0.0,0.0,0.0,0.0
