Time (s), Distance (m), Latitude (deg), Longitude (deg), Elevation (m), Speed (km/h), Front Brake Power (W), Rear Brake Power (W), Front Brake Torque (Nm), Rear Brake Torque (Nm)
38.2,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
38.3,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
38.4,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
38.5,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
38.6,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
38.7,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
38.8,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
38.9,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
39.0,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
39.1,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
39.2,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
39.3,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
39.4,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
39.5,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
39.6,0,-38.17087,176.30223,636,0.1,0.0,0.0,0.0,0.0
39.7,0,-38.17087,176.30223,636,0.2,0.0,0.0,0.0,0.0
39.8,0,-38.17087,176.30223,636,0.2,0.0,0.0,0.0,0.0
39.9,0,-38.17087,176.30223,636,0.2,0.0,0.0,0.0,0.0
40.0,0,-38.17087,176.30223,636,0.2,0.0,0.0,0.0,0.0
40.1,0,-38.17087,176.30223,636,0.2,0.0,0.0,0.0,0.0
40.2,0,-38.17087,176.30223,636,0.3,0.0,0.0,0.0,0.0
40.3,0,-38.17087,176.30223,636,0.3,0.0,0.0,0.0,0.0
40.4,0,-38.17087,176.30223,636,0.3,0.0,0.0,0.0,0.0
40.5,0,-38.17087,176.30223,636,0.3,0.0,0.0,0.0,0.0
40.6,0,-38.17087,176.30223,636,0.4,0.0,0.0,0.0,0.0
40.7,0,-38.17087,176.30223,636,0.4,0.0,0.0,0.0,0.0
40.8,0,-38.17087,176.30223,636,0.4,0.0,0.0,0.0,0.0
40.9,1,-38.17087,176.30223,636,0.4,0.0,0.0,0.0,0.0
41.0,1,-38.17087,176.30222,636,0.5,0.0,0.0,0.0,0.0
41.1,1,-38.17087,176.30222,636,0.5,0.0,0.0,0.0,0.0
41.2,1,-38.17087,176.30222,636,0.5,0.0,0.0,0.0,0.0
41.3,1,-38.17087,176.30222,636,0.6,0.0,0.0,0.0,0.0
41.4,1,-38.17086,176.30222,636,0.6,0.0,0.0,0.0,0.0
41.5,1,-38.17086,176.30222,636,0.7,0.0,0.0,0.0,0.0
41.6,1,-38.17086,176.30222,636,0.7,0.0,0.0,0.0,0.0
41.7,1,-38.17086,176.30222,636,0.7,0.0,0.0,0.0,0.0
41.8,1,-38.17086,176.30222,636,0.8,0.0,0.0,0.0,0.0
41.9,1,-38.17086,176.30222,636,0.8,0.0,0.0,0.0,0.0
42.0,1,-38.17086,176.30221,636,0.8,0.0,0.0,0.0,0.0
42.1,1,-38.17086,176.30221,636,0.9,0.0,0.0,0.0,0.0
42.2,1,-38.17086,176.30221,636,0.9,0.0,0.0,0.0,0.0
42.3,1,-38.17086,176.30221,636,0.9,0.0,0.0,0.0,0.0
42.4,2,-38.17086,176.30221,636,0.9,0.0,0.0,0.0,0.0
42.5,2,-38.17086,176.30221,636,0.9,0.0,0.0,0.0,0.0
42.6,2,-38.17086,176.30221,636,0.9,0.0,0.0,0.0,0.0
42.7,2,-38.17086,176.30221,636,0.9,0.0,0.0,0.0,0.0
42.8,2,-38.17086,176.30221,636,0.9,0.0,0.0,0.0,0.0
42.9,2,-38.17086,176.30221,636,1.0,0.0,0.0,0.0,0.0
43.0,2,-38.17086,176.30221,636,1.0,0.0,0.0,0.0,0.0
43.1,2,-38.17085,176.30221,636,1.1,0.0,0.0,0.0,0.0
43.2,2,-38.17085,176.30221,636,1.1,0.0,0.0,0.0,0.0
43.3,3,-38.17085,176.30221,636,1.2,0.0,0.0,0.0,0.0
43.4,3,-38.17085,176.30221,636,1.2,0.0,0.0,0.0,0.0
43.5,3,-38.17085,176.30221,636,1.3,0.0,0.0,0.0,0.0
43.6,3,-38.17085,176.30221,636,1.3,0.0,0.0,0.0,0.0
43.7,3,-38.17085,176.30221,636,1.3,0.0,0.0,0.0,0.0
43.8,3,-38.17085,176.30221,636,1.3,0.0,0.0,0.0,0.0
43.9,3,-38.17085,176.30221,636,1.3,0.0,0.0,0.0,0.0
44.0,3,-38.17085,176.30221,636,1.4,0.0,0.0,0.0,0.0
44.1,4,-38.17085,176.30221,636,1.4,0.0,0.0,0.0,0.0
44.2,4,-38.17084,176.3022,636,1.4,0.0,0.0,0.0,0.0
44.3,4,-38.17084,176.3022,636,1.4,0.0,0.0,0.0,0.0
44.4,4,-38.17084,176.3022,636,1.4,0.0,0.0,0.0,0.0
44.5,4,-38.17084,176.3022,636,1.5,0.0,0.0,0.0,0.0
44.6,4,-38.17083,176.3022,636,1.5,0.0,0.0,0.0,0.0
44.7,4,-38.17083,176.3022,636,1.5,0.0,0.0,0.0,0.0
44.8,5,-38.17083,176.3022,635,1.6,0.0,0.0,0.0,0.0
44.9,5,-38.17083,176.3022,635,1.6,0.0,0.0,0.0,0.0
45.0,5,-38.17082,176.3022,635,1.6,0.0,0.0,0.0,0.0
45.1,5,-38.17082,176.3022,635,1.7,0.0,0.0,0.0,0.0
45.2,5,-38.17082,176.3022,635,1.7,0.0,0.0,0.0,0.0
45.3,5,-38.17081,176.30219,635,1.7,0.0,0.0,0.0,0.0
45.4,6,-38.17081,176.30219,634,1.8,0.0,72.9,0.0,15.3
45.5,6,-38.1708,176.30219,634,1.8,0.0,100.9,0.0,20.8
45.6,6,-38.1708,176.3022,634,1.9,49.6,86.1,10.0,17.3
45.7,6,-38.1708,176.3022,634,1.9,0.0,71.2,0.0,14.0
45.8,6,-38.1708,176.3022,634,1.9,0.0,55.1,0.0,10.6
45.9,7,-38.1708,176.3022,634,2.0,0.0,0.0,0.0,0.0
46.0,7,-38.1708,176.3022,634,2.0,0.0,0.0,0.0,0.0
46.1,7,-38.17079,176.3022,634,2.1,0.0,0.0,0.0,0.0
46.2,7,-38.17079,176.3022,634,2.1,0.0,131.5,0.0,23.3
46.3,7,-38.17079,176.3022,634,2.1,0.0,240.8,0.0,41.8
46.4,8,-38.17079,176.3022,634,2.2,0.0,345.0,0.0,58.5
46.5,8,-38.17078,176.3022,635,2.2,0.0,443.2,0.0,73.6
46.6,8,-38.17078,176.3022,635,2.3,61.1,470.5,10.0,76.5
46.7,8,-38.17078,176.30221,635,2.3,0.0,375.7,0.0,59.9
46.8,9,-38.17077,176.30221,635,2.4,0.0,305.2,0.0,47.5
46.9,9,-38.17077,176.30221,635,2.4,0.0,244.1,0.0,37.1
47.0,9,-38.17077,176.30221,635,2.5,0.0,204.3,0.0,30.6
47.1,9,-38.17077,176.30221,635,2.5,0.0,171.3,0.0,25.2
47.2,10,-38.17076,176.30221,635,2.6,0.0,219.1,0.0,31.5
47.3,10,-38.17076,176.30222,635,2.6,0.0,259.3,0.0,36.5
47.4,10,-38.17076,176.30222,635,2.7,72.2,276.8,10.1,38.4
47.5,10,-38.17076,176.30222,635,2.7,85.2,298.7,11.7,40.7
47.6,11,-38.17075,176.30222,635,2.8,102.0,334.0,13.7,44.6
47.7,11,-38.17075,176.30222,634,2.8,107.8,374.6,14.2,49.1
47.8,11,-38.17075,176.30222,634,2.9,104.9,359.8,13.6,46.4
47.9,11,-38.17075,176.30222,634,2.9,89.8,343.8,11.5,43.7
48.0,12,-38.17074,176.30223,634,2.9,0.0,311.8,0.0,39.7
48.1,12,-38.17073,176.30223,634,2.9,0.0,203.1,0.0,26.0
48.2,12,-38.17073,176.30223,634,2.9,0.0,114.0,0.0,14.7
48.3,13,-38.17072,176.30224,634,2.9,0.0,0.0,0.0,0.0
48.4,13,-38.17071,176.30224,634,2.9,0.0,0.0,0.0,0.0
48.5,13,-38.17071,176.30224,634,2.8,0.0,0.0,0.0,0.0
48.6,13,-38.1707,176.30225,634,2.8,0.0,0.0,0.0,0.0
48.7,14,-38.1707,176.30225,634,2.8,0.0,0.0,0.0,0.0
48.8,14,-38.1707,176.30225,634,2.7,0.0,0.0,0.0,0.0
48.9,14,-38.1707,176.30225,634,2.7,0.0,0.0,0.0,0.0
49.0,15,-38.1707,176.30225,634,2.7,0.0,0.0,0.0,0.0
49.1,15,-38.1707,176.30225,633,2.7,0.0,0.0,0.0,0.0
49.2,15,-38.1707,176.30225,632,2.7,0.0,0.0,0.0,0.0
49.3,15,-38.17069,176.30225,631,2.7,0.0,0.0,0.0,0.0
49.4,16,-38.17069,176.30225,630,2.6,0.0,0.0,0.0,0.0
49.5,16,-38.17069,176.30225,628,2.6,0.0,0.0,0.0,0.0
49.6,16,-38.17069,176.30226,628,2.6,0.0,0.0,0.0,0.0
49.7,16,-38.17069,176.30225,628,2.6,0.0,0.0,0.0,0.0
49.8,17,-38.17069,176.30225,628,2.6,0.0,0.0,0.0,0.0
