Time (s), Distance (m), Latitude (deg), Longitude (deg), Elevation (m), Speed (km/h), Front Brake Power (W), Rear Brake Power (W), Front Brake Torque (Nm), Rear Brake Torque (Nm)
0.0,0,-38.17752,176.31041,713,1.2,0.0,0.0,0.0,0.0
0.1,0,-38.17752,176.31041,713,1.2,0.0,0.0,0.0,0.0
0.2,0,-38.17752,176.31041,713,1.1,0.0,0.0,0.0,0.0
0.3,0,-38.17752,176.31041,713,1.1,0.0,0.0,0.0,0.0
0.4,1,-38.17752,176.31041,714,1.1,0.0,0.0,0.0,0.0
0.5,1,-38.17751,176.31041,714,1.1,0.0,0.0,0.0,0.0
0.6,1,-38.17751,176.31041,714,1.1,0.0,0.0,0.0,0.0
0.7,1,-38.17751,176.31041,714,1.1,0.0,0.0,0.0,0.0
0.8,1,-38.17751,176.31041,715,1.1,0.0,0.0,0.0,0.0
0.9,1,-38.17751,176.31041,715,1.0,0.0,0.0,0.0,0.0
1.0,1,-38.17751,176.31041,715,1.0,0.0,0.0,0.0,0.0
1.1,1,-38.17751,176.31041,715,1.0,0.0,0.0,0.0,0.0
1.2,1,-38.17751,176.3104,716,1.0,0.0,0.0,0.0,0.0
1.3,2,-38.17751,176.3104,716,1.0,0.0,0.0,0.0,0.0
1.4,2,-38.17751,176.3104,716,1.0,0.0,0.0,0.0,0.0
1.5,2,-38.17751,176.3104,717,1.0,0.0,0.0,0.0,0.0
1.6,2,-38.17751,176.3104,717,1.0,0.0,0.0,0.0,0.0
1.7,2,-38.17751,176.3104,717,1.0,0.0,0.0,0.0,0.0
1.8,2,-38.17751,176.3104,718,1.0,0.0,0.0,0.0,0.0
1.9,2,-38.17751,176.3104,718,0.9,0.0,0.0,0.0,0.0
2.0,2,-38.17751,176.3104,718,0.9,0.0,0.0,0.0,0.0
2.1,2,-38.17751,176.3104,718,0.9,0.0,0.0,0.0,0.0
2.2,2,-38.17751,176.3104,718,0.9,0.0,0.0,0.0,0.0
2.3,2,-38.17751,176.3104,718,0.9,0.0,0.0,0.0,0.0
2.4,3,-38.17751,176.3104,718,0.9,0.0,0.0,0.0,0.0
2.5,3,-38.17751,176.3104,718,0.9,0.0,0.0,0.0,0.0
2.6,3,-38.17751,176.3104,719,0.8,0.0,0.0,0.0,0.0
2.7,3,-38.1775,176.3104,719,0.8,0.0,0.0,0.0,0.0
2.8,3,-38.1775,176.3104,719,0.8,0.0,0.0,0.0,0.0
2.9,3,-38.1775,176.3104,719,0.8,0.0,0.0,0.0,0.0
3.0,3,-38.1775,176.3104,719,0.7,0.0,0.0,0.0,0.0
3.1,3,-38.1775,176.3104,719,0.7,0.0,0.0,0.0,0.0
3.2,3,-38.1775,176.3104,719,0.7,0.0,0.0,0.0,0.0
3.3,3,-38.1775,176.3104,719,0.7,0.0,0.0,0.0,0.0
3.4,3,-38.1775,176.3104,719,0.6,0.0,0.0,0.0,0.0
3.5,3,-38.1775,176.3104,718,0.6,0.0,0.0,0.0,0.0
3.6,3,-38.1775,176.3104,718,0.6,0.0,0.0,0.0,0.0
3.7,3,-38.1775,176.3104,718,0.5,0.0,0.0,0.0,0.0
3.8,4,-38.1775,176.3104,718,0.5,0.0,0.0,0.0,0.0
3.9,4,-38.1775,176.3104,719,0.5,0.0,0.0,0.0,0.0
4.0,4,-38.1775,176.3104,719,0.5,0.0,0.0,0.0,0.0
4.1,4,-38.1775,176.3104,719,0.5,0.0,0.0,0.0,0.0
4.2,4,-38.1775,176.3104,719,0.4,0.0,0.0,0.0,0.0
4.3,4,-38.1775,176.3104,719,0.4,0.0,0.0,0.0,0.0
4.4,4,-38.1775,176.3104,719,0.4,0.0,0.0,0.0,0.0
4.5,4,-38.1775,176.3104,719,0.4,0.0,0.0,0.0,0.0
4.6,4,-38.1775,176.3104,719,0.4,0.0,0.0,0.0,0.0
4.7,4,-38.1775,176.3104,719,0.3,0.0,0.0,0.0,0.0
4.8,4,-38.17751,176.3104,719,0.3,0.0,0.0,0.0,0.0
4.9,4,-38.17751,176.3104,719,0.3,0.0,0.0,0.0,0.0
5.0,4,-38.17751,176.3104,719,0.3,0.0,0.0,0.0,0.0
