section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,47547
analyzeCount,1,47548
axleTravelRatio,1,-37.62633295179727
compressionSpeedRatio,1,-29.870657280108663
reboundSpeedRatio,1,-39.422895356781964
section,forkResults
movingCount,1,47547
filterRatio,1,59
timeComp,1,9389
timeReb,1,18887
axleMin,1,20.137500000000003
axleMax,1,156.2775
axleAvg,1,63.09507822360089
axleMovingAvg,1,63.37338111580193
segments,1,1
maxCompressionSpeed,1,3660.300000000001
avgCompressionSpeed,1,953.0762681159422
compressionSpeed95,1,2370.149999999999
maxReboundSpeed,1,1740.6
avgReboundSpeed,1,593.6481042654026
reboundSpeed95,1,1035.6499999999992
axleTravelTotal,1,66088.75499999363
totalTravelComp,1,19274.47500000001
totalTravelReb,1,28190.503749999985
histogramLPS,42,20,160.0,0,0,479,3904,3168,4771,7518,5884,5704,5187,4001,3022,1932,1143,556,196,33,17,23,2,0,0,479,3904,3168,4771,7517,5885,5704,5187,4001,3022,1932,1143,556,196,33,17,23,2
gforceTotalComp,1,16983.764209220175
gforceTotalReb,1,28541.079762345365
gforceMin,1,-16.0
gforceMax,1,12.11
gforceAbsTotal,1,73803.34690165667
gforceTotalFlat,1,28278.50293009113
travelToForceRatioComp,1,1.1348765069133644
travelToForceRatioReb,1,0.987716792242461
travelToForceRatioAll,1,0.8954709748875919
vibrationCompression,1,1.808900224648011
vibrationRebound,1,1.5111494553049911
vibrationOverall,1,1.552186146665615
forceBreakdownTable,9,2.615849063408544,72.9374141551076,46.70284032358141,78.2481176066243,26.981951448466923,46.10760684850907,19.136033329967148,0.08063439642547426,7.18955282790952
invalidSamples,1,8
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
22,33,41.18,59.38,2.95,513.05,530.00,48.31
190,206,27.97,114.53,3.91,2800.45,3013.00,62.89
236,261,52.74,100.94,2.35,938.15,974.00,69.24
270,286,100.07,112.78,1.03,417.65,456.50,103.81
399,411,31.80,83.16,3.72,1737.75,1836.00,53.63
451,471,66.86,114.19,4.15,988.60,1021.00,82.89
592,609,62.58,79.47,3.65,608.05,649.00,73.34
612,624,77.89,96.67,1.93,625.50,664.50,84.71
662,683,58.47,77.07,1.19,598.35,646.50,64.05
718,744,49.18,59.90,0.47,199.10,219.50,54.50
855,868,29.12,94.79,2.93,2416.80,2607.00,56.52
907,917,52.75,112.89,2.74,2126.75,2261.00,77.80
985,995,56.30,67.86,2.24,370.00,386.50,61.16
1026,1044,53.60,98.53,2.15,853.65,883.50,79.06
1124,1140,25.52,78.04,1.62,1414.30,1492.00,42.85
1155,1176,55.80,114.43,1.91,1003.85,1025.00,90.59
1230,1251,38.39,83.03,1.07,1141.65,1240.50,50.17
1344,1359,55.77,97.19,1.41,1230.35,1289.00,74.22
1441,1452,77.96,93.22,3.72,636.40,703.00,84.27
1501,1519,69.86,101.34,3.61,861.65,903.50,83.88
1640,1661,29.08,83.95,2.55,1794.35,1911.50,50.20
1937,1948,61.66,75.25,1.99,389.05,403.00,67.46
2026,2036,41.29,61.14,1.02,654.05,690.50,53.58
2049,2061,36.61,69.13,2.79,846.30,891.00,47.50
2233,2243,25.36,47.33,1.14,946.75,1030.00,36.26
2258,2283,41.75,77.03,1.71,966.95,1044.50,61.36
2366,2377,33.59,89.53,6.46,1795.50,1887.00,60.51
2490,2504,63.91,74.02,1.23,352.00,383.50,68.77
2605,2638,28.65,86.87,1.31,813.85,850.00,54.85
2667,2692,38.52,90.27,1.18,678.00,708.00,79.35
2859,2869,23.08,82.55,3.96,2379.00,2547.00,53.56
2886,2907,44.67,109.64,4.39,1362.40,1465.00,80.00
3005,3048,43.39,57.85,0.38,160.50,166.50,53.98
3164,3177,51.90,84.12,2.72,1229.15,1304.00,69.51
3202,3222,70.47,84.10,1.49,215.80,224.50,78.77
3315,3351,44.34,87.96,0.62,516.30,532.50,64.20
3393,3406,35.25,45.49,0.67,284.15,293.00,40.13
3426,3459,47.25,73.07,0.59,361.25,366.50,65.09
3525,3552,28.14,70.22,1.05,764.90,779.00,40.25
3638,3650,31.01,54.32,1.73,703.90,745.00,38.94
3659,3702,45.87,90.11,1.04,499.10,546.50,84.54
3894,3910,37.25,89.35,3.30,1549.80,1657.50,55.35
