section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,45751
analyzeCount,1,45752
axleTravelRatio,1,-27.177553582768176
compressionSpeedRatio,1,-25.79005396919984
reboundSpeedRatio,1,-36.83430187457246
section,forkResults
movingCount,1,45751
filterRatio,1,59
timeComp,1,9077
timeReb,1,18353
axleMin,1,22.624999999999996
axleMax,1,158.5875
axleAvg,1,65.55702718139803
axleMovingAvg,1,65.79444589815266
segments,1,1
maxCompressionSpeed,1,3724.85
avgCompressionSpeed,1,991.7670020120735
compressionSpeed95,1,2352.400000000001
maxReboundSpeed,1,1532.3000000000006
avgReboundSpeed,1,598.2841623036653
reboundSpeed95,1,1032.7500000000005
axleTravelTotal,1,61144.189999997216
totalTravelComp,1,18939.200000000004
totalTravelReb,1,26502.83749999998
histogramLPS,42,20,160.0,0,0,20,3431,4064,3474,6617,5258,5379,5262,4064,3034,2346,1535,736,361,87,42,23,6,0,0,20,3430,4065,3474,6617,5258,5379,5262,4064,3034,2346,1535,736,361,87,42,23,6
gforceTotalComp,1,16307.149468068805
gforceTotalReb,1,26560.593012964877
gforceMin,1,-16.0
gforceMax,1,11.12
gforceAbsTotal,1,69640.18208618341
gforceTotalFlat,1,26772.43960514973
travelToForceRatioComp,1,1.1614046978035644
travelToForceRatioReb,1,0.9978255186946803
travelToForceRatioAll,1,0.8780015813905834
vibrationCompression,1,1.7965351402521543
vibrationRebound,1,1.4472071602988545
vibrationOverall,1,1.5221232314693
forceBreakdownTable,9,1.940574848128547,69.32913005776649,43.69411457434152,72.8638022444535,30.35533484757935,46.525813892657375,25.19562290741796,0.31553509465414353,9.78007153300109
invalidSamples,1,0
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
11,22,35.56,74.70,2.57,1171.90,1216.00,56.63
40,55,35.30,81.60,2.74,1361.45,1506.50,47.76
78,97,53.50,95.00,1.76,1090.65,1128.00,70.56
172,194,75.89,99.69,2.59,385.85,410.00,94.82
247,260,36.82,85.75,2.70,1465.60,1555.00,53.87
402,412,24.31,106.12,2.12,3114.50,3335.00,57.73
441,457,55.43,111.52,4.48,1744.80,1806.00,80.25
497,512,32.85,69.21,2.26,1433.05,1559.50,47.89
521,545,62.03,128.46,3.11,958.60,1003.00,114.31
642,657,28.15,99.74,2.47,2230.95,2356.50,59.20
722,733,31.09,60.78,1.68,885.95,942.50,50.26
744,756,45.16,83.00,3.86,1275.60,1372.50,58.17
758,768,83.00,99.89,2.60,667.55,713.00,91.99
839,857,48.39,73.18,1.07,781.35,840.00,56.81
919,940,49.98,90.62,2.16,639.25,647.50,69.80
1014,1027,26.87,57.61,2.08,1096.85,1184.00,38.06
1033,1045,50.62,123.87,6.16,2124.10,2204.50,86.06
1132,1151,49.38,78.10,0.58,856.80,913.50,68.50
1220,1246,45.70,83.94,1.43,686.05,713.50,55.03
1287,1297,49.63,69.01,1.59,764.45,818.00,61.66
1323,1343,33.01,48.87,2.98,336.30,381.00,36.48
1360,1376,46.47,146.43,3.96,2741.25,2863.50,85.00
1395,1405,89.68,114.32,3.32,807.90,837.00,102.66
1500,1519,26.41,82.78,0.97,1770.10,1882.00,49.02
1628,1673,44.77,82.36,0.29,470.55,486.00,63.89
1769,1796,25.53,84.25,1.95,1277.85,1330.50,43.73
1886,1899,36.64,77.12,2.24,1417.85,1499.00,53.83
2021,2038,24.83,84.38,1.27,1822.50,1938.00,46.42
2057,2078,58.55,91.31,1.41,824.05,1018.00,69.34
2115,2126,72.69,84.75,0.78,431.00,456.50,78.78
