Time,Front Axle,Rear Axle,Front Force,Rear Sensor,Rear Force
2932,-9.99,41.72,0.00,15.48,-0.39
2932,47.59,-9.99,0.99,-9.99,0.00
2933,-9.99,40.96,0.00,15.18,-0.39
2934,45.20,-9.99,0.99,-9.99,0.00
2936,40.02,39.49,0.57,14.60,1.52
2935,38.80,39.39,0.57,14.57,1.52
2938,37.92,39.39,-0.13,14.57,2.06
2938,37.09,39.39,-0.13,14.57,2.06
2940,36.46,39.35,0.69,14.55,1.61
2941,35.97,39.30,0.69,14.53,1.61
2942,35.67,39.44,1.34,14.59,0.71
2943,35.53,39.44,1.34,14.59,0.71
2944,35.53,39.25,0.49,14.51,0.41
2945,36.60,39.20,0.49,14.49,0.41
2946,38.99,38.77,-3.65,14.32,-0.03
2947,42.95,38.20,-3.65,14.10,-0.03
2948,47.83,37.82,-5.66,13.95,0.31
2949,53.40,37.39,-5.66,13.79,0.31
2950,59.75,37.05,-3.93,13.65,1.40
2951,65.80,37.05,-3.93,13.65,1.40
2952,70.68,37.29,-2.33,13.75,0.56
2953,74.05,37.91,-2.33,13.99,0.56
2954,75.22,39.01,0.28,14.42,0.61
2955,74.30,40.25,0.28,14.90,0.61
2956,72.29,41.06,0.85,15.22,-0.14
2957,69.37,41.63,0.85,15.44,-0.14
2958,65.90,41.44,1.00,15.37,-0.20
2959,62.33,40.39,1.00,14.96,-0.20
2960,58.92,39.11,2.34,14.45,-1.91
2961,56.08,37.67,2.34,13.90,-1.91
2962,53.45,36.57,3.46,13.47,-1.89
2963,51.05,35.75,3.46,13.15,-1.89
2964,48.52,35.23,2.03,12.95,-0.19
2965,46.22,34.79,2.03,12.78,-0.19
2966,44.02,34.31,-0.03,12.59,1.07
2967,41.87,33.54,-0.03,12.30,1.07
2968,39.87,32.18,-0.39,11.78,1.05
2969,38.07,30.62,-0.39,11.18,1.05
2970,36.50,28.96,0.66,10.55,-0.32
2971,35.14,27.24,0.66,9.90,-0.32
2972,34.50,25.71,1.24,9.32,-0.72
2973,37.04,24.43,1.24,8.84,-0.72
2974,43.54,23.43,-2.05,8.46,-0.82
2975,51.84,22.69,-2.05,8.19,-0.82
2976,58.87,21.94,-8.23,7.91,1.11
2977,63.26,21.49,-8.23,7.74,1.11
2978,65.17,21.99,-2.70,7.93,3.24
2979,65.61,24.08,-2.70,8.71,3.24
2980,65.95,28.08,-4.52,10.21,2.60
2981,66.97,33.20,-4.52,12.17,2.60
2982,69.41,37.53,-3.85,13.84,0.45
2983,73.17,39.58,-3.85,14.64,0.45
2984,76.98,39.58,-2.18,14.64,0.47
2985,79.81,38.53,-2.18,14.23,0.47
2986,81.33,37.77,0.96,13.93,-2.75
2987,81.72,37.24,0.96,13.73,-2.75
2988,81.62,36.62,-1.71,13.49,-2.64
2989,80.99,35.80,-1.71,13.17,-2.64
2990,80.21,34.94,0.97,12.84,-2.67
2991,79.42,33.87,0.97,12.43,-2.67
2992,-9.99,32.47,0.00,11.89,-2.28
2992,79.03,-9.99,-0.52,-9.99,0.00
2993,-9.99,31.01,0.00,11.33,-2.28
2994,79.03,-9.99,-0.52,-9.99,0.00
2995,78.11,26.31,-2.23,9.54,0.93
2996,76.88,24.82,-2.23,8.99,0.93
2997,74.98,23.19,-1.10,8.37,0.73
2998,72.69,21.59,-1.10,7.78,0.73
3000,70.54,21.39,1.28,7.70,0.14
3001,68.68,24.72,1.28,8.95,0.14
3002,66.97,31.74,-3.69,11.61,3.92
3003,65.02,39.78,-3.69,14.72,3.92
3004,62.72,45.08,-1.39,16.80,7.72
3005,60.48,46.30,-1.39,17.28,7.72
3006,57.89,44.70,2.51,16.65,2.59
3007,55.40,42.43,2.51,15.76,2.59
3008,53.94,40.58,4.18,15.03,-3.23
3009,53.40,39.49,4.18,14.60,-3.23
3010,53.45,39.39,0.97,14.57,-2.98
3011,53.69,40.39,0.97,14.96,-2.98
3012,53.74,42.48,-1.46,15.78,0.17
3013,53.94,45.69,-1.46,17.04,0.17
3014,55.11,49.29,-3.11,18.47,2.48
3015,57.84,52.40,-3.11,19.72,2.48
3016,62.19,54.25,-4.06,20.46,2.42
3017,67.66,55.31,-4.06,20.89,2.42
3018,73.47,55.77,-2.20,21.08,0.60
3019,78.94,56.18,-2.20,21.25,0.60
3020,83.72,57.15,-0.49,21.64,-0.93
3021,87.68,58.89,-0.49,22.34,-0.93
3022,90.65,61.17,-2.83,23.27,0.61
3023,92.80,63.62,-2.83,24.28,0.61
3024,94.12,65.70,-4.15,25.13,1.31
3025,94.80,66.83,-4.15,25.60,1.31
3026,94.95,67.24,-3.03,25.77,1.58
3027,94.95,67.33,-3.03,25.80,1.58
3028,95.00,67.19,-2.40,25.75,0.35
3029,95.00,67.24,-2.40,25.77,0.35
3030,95.00,67.15,-1.49,25.73,0.33
3031,94.85,66.74,-1.49,25.56,0.33
3032,94.12,66.11,-0.92,25.30,0.45
3033,92.51,65.03,-0.92,24.85,0.45
3034,89.82,63.67,0.92,24.30,-0.91
3035,86.55,62.31,0.92,23.74,-0.91
3036,83.04,61.08,1.78,23.24,-1.00
3037,79.77,60.03,1.78,22.81,-1.00
3038,76.98,59.07,-0.01,22.42,0.33
3039,74.88,58.11,-0.01,22.03,0.33
3040,73.47,56.96,-2.48,21.56,1.54
3041,72.39,55.68,-2.48,21.04,1.54
3042,71.22,54.48,-1.84,20.56,1.61
3043,69.66,53.56,-1.84,20.18,1.61
3044,67.61,52.91,-0.76,19.92,1.86
3045,65.07,52.26,-0.76,19.66,1.86
3046,62.14,51.52,1.62,19.37,1.41
3047,59.11,50.78,1.62,19.07,1.41
3048,56.08,50.03,2.60,18.77,-0.00
3049,53.20,49.06,2.60,18.38,-0.00
3050,50.62,48.08,1.49,17.99,-0.09
3051,48.17,46.86,1.49,17.51,-0.09
3052,45.88,45.41,0.63,16.93,-0.08
3053,43.78,43.62,0.63,16.22,-0.08
3054,41.97,41.68,1.33,15.46,-0.80
3055,40.36,39.63,1.33,14.66,-0.80
3056,39.09,37.82,2.51,13.95,-1.47
3057,38.07,36.19,2.51,13.32,-1.47
3058,37.14,34.79,1.43,12.78,-1.06
3059,36.06,33.49,1.43,12.28,-1.06
3060,35.19,32.37,0.28,11.85,-0.09
3061,35.82,31.06,0.28,11.35,-0.09
3062,41.24,29.89,-4.54,10.90,-0.37
3063,50.57,29.01,-4.54,10.57,-0.37
3064,59.70,27.98,-8.63,10.18,0.47
3065,66.87,26.65,-8.63,9.67,0.47
3066,71.07,25.42,-7.07,9.21,2.88
3067,71.76,24.82,-7.07,8.99,2.88
3068,70.59,24.62,-0.89,8.91,1.29
3069,68.44,24.87,-0.89,9.00,1.29
3070,65.46,25.12,2.71,9.10,0.76
3071,61.65,25.12,2.71,9.10,0.76
3072,57.65,24.48,0.40,8.86,-0.92
3073,53.84,23.53,0.40,8.50,-0.92
3074,50.57,22.64,1.15,8.17,-1.64
3075,47.83,21.94,1.15,7.91,-1.64
3076,45.39,21.24,1.94,7.65,-1.25
3077,44.17,20.64,1.94,7.42,-1.25
3078,45.78,20.09,0.92,7.22,-1.29
3079,52.37,19.53,0.92,7.01,-1.29
3080,63.41,18.98,-3.71,6.81,-1.82
3081,74.30,18.37,-3.71,6.59,-1.82
3082,82.30,17.87,-6.11,6.40,-0.20
3083,86.31,17.21,-6.11,6.16,-0.20
3084,87.09,16.50,-4.56,5.90,1.54
3085,86.46,15.74,-4.56,5.62,1.54
3086,85.58,15.23,-0.31,5.43,-0.53
3087,84.75,14.77,-0.31,5.26,-0.53
3088,83.67,14.31,-1.13,5.10,-1.61
3089,82.26,13.90,-1.13,4.95,-1.61
3090,80.25,15.07,-0.53,5.38,-0.61
3091,77.76,19.93,-0.53,7.16,-0.61
3092,74.74,27.29,-0.89,9.92,3.63
3093,71.42,34.98,-0.89,12.86,3.63
3094,68.05,40.63,-2.83,15.05,7.12
3095,65.36,42.06,-2.83,15.61,7.12
3096,64.87,-9.99,0.97,-9.99,0.00
3097,66.68,-9.99,0.97,-9.99,0.00
3097,-9.99,41.06,0.00,15.22,1.24
3098,70.63,-9.99,0.74,-9.99,0.00
3099,76.30,37.63,-2.25,13.88,-3.28
3100,76.59,36.67,-2.25,13.51,-3.28
3101,76.40,36.28,1.60,13.36,0.03
3103,75.91,39.97,1.60,14.79,0.03
3104,75.81,49.43,-6.25,18.53,1.89
3105,76.05,62.58,-6.25,23.85,1.89
3106,76.59,75.60,-4.52,29.24,3.58
3107,77.86,84.59,-4.52,33.04,3.58
3108,79.62,87.69,-4.08,34.36,1.38
3109,81.04,87.04,-4.08,34.08,1.38
3110,81.96,85.81,2.99,33.56,2.37
3111,83.33,85.46,2.99,33.41,2.37
3112,85.04,85.99,0.55,33.64,-3.26
3113,86.75,86.95,0.55,34.04,-3.26
3114,87.97,88.17,-0.94,34.57,0.48
3115,88.75,89.09,-0.94,34.96,0.48
3116,89.29,89.61,-1.51,35.18,0.54
3117,89.58,89.43,-1.51,35.10,0.54
3118,89.82,89.04,-3.83,34.94,1.05
3119,90.56,87.87,-3.83,34.44,1.05
3120,91.83,86.86,-3.31,34.01,0.43
3121,93.73,85.77,-3.31,33.54,0.43
3122,95.88,85.20,-3.80,33.30,0.39
3123,97.88,85.07,-3.80,33.24,0.39
3124,99.30,85.68,-3.84,33.50,2.76
3125,99.83,86.29,-3.84,33.77,2.76
3126,99.74,86.77,-1.55,33.97,2.19
3127,99.44,86.51,-1.55,33.86,2.19
3128,98.47,85.85,0.33,33.58,2.70
3129,96.71,84.41,0.33,32.97,2.70
3130,93.63,82.48,4.52,32.15,-0.91
3131,85.72,80.19,3.51,31.18,-0.91
3132,74.69,78.12,-9.74,30.31,-3.01
3133,75.86,76.17,-9.74,29.49,-3.01
3134,78.15,74.71,-8.76,28.87,-2.07
3135,80.74,73.06,-8.76,28.18,-2.07
3136,83.18,71.45,-4.15,27.51,0.57
